iter	Passed	Remaining
343	1216	2320
344	1219	2314
345	1221	2309
346	1224	2303
347	1226	2297
348	1229	2292
349	1231	2287
350	1234	2281
351	1236	2276
352	1239	2271
353	1241	2266
354	1245	2263
355	1248	2258
356	1251	2253
357	1253	2248
358	1256	2243
359	1259	2239
360	1263	2236
361	1265	2230
362	1268	2225
363	1271	2221
364	1274	2217
365	1278	2215
366	1280	2208
367	1282	2203
368	1285	2198
369	1288	2193
370	1290	2188
371	1294	2185
372	1297	2180
373	1299	2175
374	1302	2170
375	1305	2165
376	1307	2160
377	1311	2158
378	1314	2153
379	1317	2149
380	1320	2145
381	1322	2140
382	1327	2138
383	1330	2133
384	1332	2129
385	1335	2124
386	1338	2119
387	1342	2116
388	1344	2111
389	1347	2107
390	1349	2102
391	1352	2097
392	1355	2092
393	1358	2089
394	1361	2085
395	1364	2081
396	1367	2076
397	1369	2072
398	1374	2069
399	1376	2065
400	1379	2060
401	1381	2055
402	1384	2050
403	1387	2046
404	1389	2041
405	1392	2037
406	1395	2033
407	1397	2028
408	1400	2024
409	1403	2019
410	1406	2015
411	1408	2010
412	1410	2005
413	1413	2000
414	1415	1995
415	1418	1991
416	1421	1986
417	1423	1982
418	1426	1977
419	1428	1972
420	1431	1968
421	1433	1964
422	1437	1960
423	1439	1955
424	1442	1951
425	1444	1946
426	1447	1942
427	1450	1939
428	1453	1934
429	1456	1930
430	1458	1925
431	1461	1921
432	1463	1916
433	1466	1912
434	1468	1907
435	1472	1904
436	1478	1904
437	1481	1900
438	1483	1895
439	1486	1891
440	1488	1886
441	1491	1882
442	1495	1880
443	1498	1876
444	1500	1871
445	1503	1867
446	1505	1862
447	1509	1859
448	1511	1855
449	1514	1850
450	1516	1846
451	1518	1841
452	1521	1836
453	1523	1832
454	1526	1828
455	1528	1823
456	1531	1819
457	1533	1814
458	1536	1810
459	1539	1806
460	1541	1802
461	1544	1798
462	1546	1794
463	1549	1789
464	1551	1784
465	1553	1780
466	1556	1776
467	1558	1771
468	1561	1767
469	1563	1763
470	1565	1758
471	1568	1754
472	1570	1750
473	1573	1746
474	1575	1741
475	1578	1737
476	1580	1732
477	1582	1728
478	1585	1724
479	1587	1719
480	1590	1715
481	1592	1711
482	1594	1706
483	1597	1702
484	1599	1698
485	1602	1694
486	1604	1690
487	1607	1686
488	1609	1682
489	1612	1678
490	1614	1674
491	1617	1669
492	1621	1667
493	1623	1663
494	1626	1658
495	1628	1655
496	1631	1651
497	1633	1647
498	1637	1644
499	1640	1640
500	1642	1636
501	1645	1632
502	1648	1628
503	1651	1624
504	1653	1621
505	1656	1617
506	1658	1612
507	1660	1608
508	1663	1604
509	1665	1600
510	1668	1596
511	1670	1592
512	1673	1588
513	1675	1584
514	1678	1580
515	1680	1576
516	1684	1574
517	1687	1570
518	1689	1566
519	1692	1562
520	1694	1558
521	1697	1554
522	1700	1550
523	1702	1546
524	1705	1542
525	1707	1538
526	1709	1534
527	1711	1530
528	1715	1527
529	1724	1529
530	1727	1525
531	1730	1522
532	1733	1518
533	1735	1514
534	1737	1510
535	1739	1505
536	1741	1501
537	1744	1497
538	1747	1494
539	1749	1490
540	1752	1486
541	1755	1483
542	1757	1479
543	1759	1475
544	1762	1471
545	1765	1467
546	1767	1463
547	1770	1460
548	1772	1455
549	1775	1452
550	1777	1448
551	1780	1444
552	1782	1441
553	1785	1437
554	1788	1433
555	1790	1429
556	1795	1427
557	1797	1423
558	1800	1420
559	1802	1416
560	1805	1412
561	1808	1409
562	1811	1406
563	1814	1402
564	1816	1398
565	1818	1394
566	1821	1391
567	1825	1388
568	1828	1384
569	1830	1381
570	1833	1377
571	1836	1373
572	1839	1371
573	1842	1367
574	1844	1363
575	1847	1359
576	1849	1356
577	1852	1352
578	1854	1348
579	1857	1345
580	1859	1341
581	1862	1337
582	1864	1333
583	1866	1329
584	1869	1326
585	1871	1322
586	1874	1318
587	1876	1315
588	1879	1311
589	1882	1307
590	1884	1304
591	1887	1301
592	1890	1297
593	1893	1294
594	1896	1290
595	1898	1287
596	1901	1283
597	1904	1280
598	1906	1276
599	1909	1273
600	1912	1269
601	1914	1266
602	1917	1262
603	1920	1259
604	1923	1255
605	1925	1252
606	1928	1248
607	1931	1245
608	1933	1241
609	1936	1238
610	1939	1234
611	1942	1231
612	1944	1227
613	1947	1224
614	1951	1221
615	1954	1218
616	1957	1215
617	1960	1211
618	1963	1208
619	1966	1205
620	1969	1201
621	1972	1198
622	1974	1195
623	1977	1191
624	1982	1189
625	1986	1186
626	1989	1183
627	1992	1180
628	1994	1176
629	1999	1174
630	2001	1170
631	2004	1166
632	2006	1163
633	2009	1160
634	2013	1157
635	2016	1153
636	2018	1150
637	2020	1146
638	2023	1143
639	2026	1139
640	2029	1136
641	2032	1133
642	2035	1130
643	2038	1127
644	2041	1123
645	2046	1121
646	2049	1117
647	2051	1114
648	2055	1111
649	2058	1108
650	2062	1105
651	2065	1102
652	2068	1099
653	2071	1096
654	2074	1092
655	2078	1090
656	2081	1086
657	2084	1083
658	2087	1080
659	2090	1076
660	2093	1073
661	2096	1070
662	2098	1066
663	2101	1063
664	2104	1060
665	2108	1057
666	2115	1055
667	2119	1053
668	2122	1049
669	2125	1046
670	2128	1043
671	2132	1040
672	2135	1037
673	2138	1034
674	2142	1031
675	2145	1028
676	2148	1025
677	2152	1022
678	2155	1019
679	2159	1016
680	2162	1012
681	2165	1009
682	2168	1006
683	2172	1003
684	2177	1001
685	2180	997
686	2183	994
687	2187	991
688	2189	988
689	2192	985
690	2196	982
691	2199	978
692	2204	976
693	2207	973
694	2210	969
695	2213	966
696	2215	963
697	2220	960
698	2222	957
699	2225	953
700	2228	950
701	2230	947
702	2234	943
703	2236	940
704	2239	937
705	2242	933
706	2245	930
707	2248	927
708	2251	923
709	2253	920
710	2256	917
711	2259	913
712	2261	910
713	2264	906
714	2267	903
715	2269	900
716	2272	897
717	2275	893
718	2278	890
719	2281	887
720	2283	883
721	2286	880
722	2288	876
723	2290	873
724	2293	869
725	2297	867
726	2300	863
727	2303	860
728	2305	857
729	2308	853
730	2310	850
731	2315	847
732	2317	844
733	2320	840
734	2323	837
735	2325	834
736	2328	830
737	2331	827
738	2333	824
739	2336	820
740	2338	817
741	2341	814
742	2343	810
743	2346	807
744	2349	804
745	2351	800
746	2354	797
747	2356	793
748	2359	790
749	2362	787
750	2364	784
751	2367	780
752	2369	777
753	2372	774
754	2375	770
755	2378	767
756	2381	764
757	2384	761
758	2387	758
759	2390	755
760	2393	751
761	2396	748
762	2399	745
763	2402	741
764	2404	738
765	2407	735
766	2410	732
767	2415	729
768	2419	726
769	2422	723
770	2425	720
771	2428	717
772	2430	713
773	2433	710
774	2436	707
775	2438	704
776	2441	700
777	2444	697
778	2447	694
779	2449	690
780	2452	687
781	2455	684
782	2458	681
783	2460	677
784	2463	674
785	2466	671
786	2469	668
787	2472	665
788	2475	661
789	2477	658
790	2480	655
791	2483	652
792	2485	648
793	2488	645
794	2490	642
795	2493	639
796	2497	636
797	2500	632
798	2503	629
799	2506	626
800	2508	623
801	2511	620
802	2514	616
803	2517	613
804	2520	610
805	2523	607
806	2526	604
807	2529	601
808	2533	598
809	2535	594
810	2538	591
811	2542	588
812	2545	585
813	2548	582
814	2551	579
815	2554	575
816	2557	572
817	2560	569
818	2563	566
819	2567	563
820	2570	560
821	2573	557
822	2576	554
823	2579	550
824	2582	547
825	2585	544
826	2588	541
827	2591	538
828	2594	535
829	2597	532
830	2600	528
831	2603	525
832	2606	522
833	2610	519
834	2613	516
835	2616	513
836	2619	510
837	2622	506
838	2625	503
839	2628	500
840	2631	497
841	2634	494
842	2637	491
843	2640	488
844	2643	484
845	2646	481
846	2649	478
847	2653	475
848	2655	472
849	2658	469
850	2661	466
851	2664	462
852	2668	459
853	2671	456
854	2674	453
855	2677	450
856	2680	447
857	2683	444
858	2686	440
859	2689	437
860	2692	434
861	2695	431
862	2700	428
863	2704	425
864	2710	423
865	2715	420
866	2720	417
867	2724	414
868	2727	411
869	2732	408
870	2738	405
871	2745	402
872	2747	399
873	2759	397
874	2762	394
875	2765	391
876	2768	388
877	2772	385
878	2775	382
879	2780	379
880	2790	376
881	2793	373
882	2796	370
883	2799	367
884	2802	364
885	2805	360
886	2808	357
887	2811	354
888	2813	351
889	2816	348
890	2819	344
891	2822	341
892	2825	338
893	2828	335
894	2831	332
895	2834	328
896	2836	325
897	2839	322
898	2842	319
899	2845	316
900	2848	312
901	2852	309
902	2855	306
903	2857	303
904	2860	300
905	2863	297
906	2867	293
907	2869	290
908	2872	287
909	2874	284
910	2877	281
911	2880	277
912	2884	274
913	2887	271
914	2889	268
915	2892	265
916	2895	262
917	2899	258
918	2902	255
919	2905	252
920	2907	249
921	2910	246
922	2914	243
923	2916	239
924	2919	236
925	2921	233
926	2924	230
927	2927	227
928	2931	224
929	2934	220
930	2936	217
931	2939	214
932	2942	211
933	2945	208
934	2948	204
935	2951	201
936	2954	198
937	2957	195
938	2959	192
939	2962	189
940	2965	185
941	2967	182
942	2970	179
943	2972	176
944	2975	173
945	2979	170
946	2981	166
947	2984	163
948	2986	160
949	2989	157
950	2992	154
951	2994	151
952	2997	147
953	3000	144
954	3003	141
955	3005	138
956	3008	135
957	3011	132
958	3014	128
959	3016	125
960	3019	122
961	3022	119
962	3026	116
963	3028	113
964	3031	109
965	3033	106
966	3036	103
967	3039	100
968	3041	97
969	3044	94
970	3047	91
971	3050	87
972	3053	84
973	3056	81
974	3059	78
975	3062	75
976	3065	72
977	3067	69
978	3070	65
979	3073	62
980	3076	59
981	3079	56
982	3082	53
983	3085	50
984	3088	47
985	3091	43
986	3094	40
987	3097	37
988	3099	34
989	3103	31
990	3106	28
991	3109	25
992	3111	21
993	3114	18
994	3116	15
995	3120	12
996	3123	9
997	3125	6
998	3128	3
999	3131	0
