iter	Passed	Remaining
432	1548	2027
433	1551	2022
434	1556	2021
435	1559	2017
436	1562	2013
437	1565	2008
438	1569	2006
439	1573	2002
440	1576	1997
441	1578	1993
442	1581	1988
443	1586	1986
444	1589	1982
445	1592	1977
446	1594	1973
447	1597	1968
448	1603	1967
449	1605	1962
450	1608	1958
451	1611	1953
452	1614	1949
453	1619	1947
454	1622	1942
455	1624	1938
456	1627	1934
457	1630	1929
458	1635	1927
459	1638	1923
460	1641	1918
461	1644	1914
462	1646	1910
463	1651	1907
464	1654	1903
465	1657	1899
466	1660	1895
467	1664	1891
468	1668	1888
469	1671	1884
470	1673	1880
471	1677	1876
472	1681	1874
473	1685	1870
474	1688	1865
475	1690	1861
476	1693	1857
477	1698	1854
478	1701	1850
479	1704	1846
480	1707	1842
481	1711	1838
482	1715	1836
483	1718	1832
484	1721	1827
485	1724	1823
486	1727	1820
487	1731	1816
488	1734	1812
489	1737	1808
490	1740	1804
491	1745	1801
492	1748	1798
493	1751	1794
494	1754	1790
495	1757	1785
496	1762	1783
497	1765	1779
498	1768	1775
499	1770	1770
500	1773	1766
501	1778	1763
502	1781	1759
503	1784	1755
504	1787	1751
505	1790	1747
506	1794	1744
507	1797	1740
508	1800	1736
509	1803	1732
510	1806	1728
511	1810	1725
512	1813	1721
513	1816	1717
514	1818	1712
515	1822	1709
516	1826	1706
517	1829	1702
518	1832	1697
519	1834	1693
520	1838	1690
521	1843	1687
522	1846	1684
523	1849	1680
524	1852	1676
525	1858	1674
526	1861	1670
527	1864	1666
528	1866	1662
529	1871	1660
530	1874	1656
531	1877	1651
532	1880	1647
533	1883	1643
534	1888	1641
535	1891	1637
536	1894	1633
537	1896	1628
538	1899	1624
539	1904	1622
540	1907	1618
541	1910	1614
542	1912	1609
543	1916	1606
544	1920	1603
545	1923	1599
546	1926	1595
547	1929	1591
548	1934	1588
549	1937	1585
550	1940	1581
551	1943	1577
552	1946	1573
553	1950	1570
554	1954	1567
555	1957	1563
556	1960	1559
557	1963	1555
558	1968	1552
559	1971	1548
560	1973	1544
561	1976	1540
562	1979	1536
563	1984	1534
564	1987	1530
565	1990	1526
566	1993	1522
567	1996	1518
568	2001	1515
569	2004	1511
570	2006	1507
571	2009	1503
572	2013	1500
573	2017	1497
574	2020	1493
575	2023	1489
576	2026	1485
577	2031	1483
578	2035	1480
579	2039	1476
580	2042	1473
581	2048	1471
582	2053	1468
583	2058	1466
584	2063	1463
585	2068	1461
586	2072	1457
587	2075	1454
588	2080	1451
589	2083	1447
590	2086	1443
591	2089	1439
592	2092	1436
593	2096	1432
594	2099	1428
595	2102	1425
596	2105	1421
597	2110	1418
598	2113	1415
599	2116	1411
600	2119	1407
601	2122	1403
602	2127	1400
603	2130	1396
604	2133	1392
605	2135	1388
606	2139	1385
607	2143	1382
608	2147	1378
609	2151	1375
610	2153	1371
611	2158	1368
612	2162	1365
613	2165	1361
614	2169	1357
615	2174	1355
616	2178	1352
617	2181	1348
618	2186	1345
619	2191	1343
620	2197	1341
621	2200	1337
622	2206	1335
623	2210	1332
624	2214	1328
625	2218	1325
626	2222	1322
627	2225	1318
628	2228	1314
629	2232	1310
630	2237	1308
631	2240	1304
632	2243	1300
633	2246	1296
634	2250	1293
635	2254	1290
636	2258	1286
637	2261	1283
638	2264	1279
639	2268	1276
640	2271	1272
641	2274	1268
642	2277	1264
643	2280	1260
644	2285	1257
645	2288	1253
646	2290	1249
647	2293	1245
648	2298	1242
649	2301	1239
650	2304	1235
651	2307	1231
652	2310	1227
653	2315	1225
654	2318	1221
655	2321	1217
656	2324	1213
657	2327	1209
658	2331	1206
659	2334	1202
660	2337	1198
661	2340	1194
662	2343	1191
663	2348	1188
664	2352	1185
665	2355	1181
666	2358	1177
667	2363	1174
668	2366	1170
669	2369	1166
670	2372	1163
671	2374	1159
672	2379	1156
673	2383	1152
674	2386	1148
675	2389	1145
676	2392	1141
677	2396	1138
678	2399	1134
679	2402	1130
680	2405	1126
681	2410	1123
682	2413	1120
683	2416	1116
684	2418	1112
685	2421	1108
686	2426	1105
687	2429	1101
688	2432	1097
689	2435	1094
690	2437	1090
691	2443	1087
692	2446	1083
693	2449	1079
694	2451	1075
695	2454	1072
696	2459	1069
697	2462	1065
698	2465	1061
699	2468	1058
700	2471	1054
701	2475	1050
702	2478	1047
703	2481	1043
704	2484	1039
705	2487	1035
706	2491	1032
707	2494	1028
708	2497	1025
709	2500	1021
710	2504	1018
711	2508	1014
712	2511	1010
713	2513	1006
714	2516	1003
715	2520	999
716	2524	996
717	2527	992
718	2529	988
719	2532	984
720	2537	981
721	2540	978
722	2543	974
723	2545	970
724	2548	966
725	2553	963
726	2556	960
727	2560	956
728	2563	952
729	2565	949
730	2570	946
731	2573	942
732	2576	938
733	2579	934
734	2584	931
735	2587	928
736	2590	924
737	2593	920
738	2596	917
739	2601	914
740	2605	910
741	2609	907
742	2612	903
743	2617	900
744	2621	897
745	2625	893
